FROM,TO,ROCK,AU,AG,CU,XCOLLAR,YCOLLAR,ZCOLLAR
121.929,124.429,2.0,0.53488,32.34795741,0.48749638,1868.5354,443.595459,657.7936401
124.429,126.929,1.0,0.73348,53.60490093,0.0,1868.5354,443.595459,657.7936401
126.929,129.429,1.0,0.47028,109.3351037,0.0,1868.5354,443.595459,657.7936401
129.429,131.929,1.0,0.67844,17.00680012,0.0,1868.5354,443.595459,657.7936401
131.929,134.429,1.0,0.62382,61.95998333,0.02391365,1868.5354,443.595459,657.7936401
134.429,136.929,1.0,1.22012,39.00676913,0.18967976,1868.5354,443.595459,657.7936401
136.929,139.429,1.0,0.98728,48.282892,0.0,1868.5354,443.595459,657.7936401
139.429,141.929,1.0,1.13645,23.85336025,0.0,1868.5354,443.595459,657.7936401
141.929,144.429,1.0,0.4366,24.21898784,0.07661242,1868.5354,443.595459,657.7936401
144.429,146.929,1.0,0.13346,29.62785065,2.27129872,1868.5354,443.595459,657.7936401
146.929,149.429,2.0,0.09628,20.99446054,0.0,1868.5354,443.595459,657.7936401
149.429,151.929,1.0,0.005,11.06962739,0.16881359,1868.5354,443.595459,657.7936401
151.929,154.429,2.0,0.44769,57.36222473,0.0,1868.5354,443.595459,657.7936401
154.429,156.929,2.0,1.12414,38.9186404,0.0,1868.5354,443.595459,657.7936401
156.929,159.429,2.0,1.14741,44.69588363,0.14217748,1868.5354,443.595459,657.7936401
159.429,161.929,2.0,1.04158,37.19110355,0.23682206,1868.5354,443.595459,657.7936401
161.929,164.429,1.0,1.21714,13.7603647,1.34077077,1868.5354,443.595459,657.7936401
164.429,166.929,1.0,2.27309,54.58217681,0.76321479,1868.5354,443.595459,657.7936401
166.929,169.429,1.0,3.71044,119.667071,2.85864194,1868.5354,443.595459,657.7936401
169.429,171.929,1.0,2.07916,62.6059837,1.38428597,1868.5354,443.595459,657.7936401
171.929,174.429,1.0,3.1861,30.93014778,1.01293822,1868.5354,443.595459,657.7936401
174.429,176.929,1.0,3.45293,130.6924329,2.05152904,1868.5354,443.595459,657.7936401
176.929,179.429,1.0,2.0557,49.55892313,1.15346184,1868.5354,443.595459,657.7936401
179.429,181.929,1.0,1.94139,60.72090087,1.59926542,1868.5354,443.595459,657.7936401
181.929,184.429,1.0,1.25574,45.4276007,0.25467922,1868.5354,443.595459,657.7936401
184.429,185.007,1.0,1.1759,13.92886818,0.6074827,1868.5354,443.595459,657.7936401
0.0,62.376,0.0,0.0,0.0,0.0,1909.030273,412.3000488,653.7672119
62.376,62.455,2.0,6.18756,211.8909576,2.17263445,1909.030273,412.3000488,653.7672119
