BHID,FROM,TO,AU,AG,CU,LENGTH
108,167.3716524,169.8716524,2.97372,87.916049,0,2.5
108,169.8716524,172.1111546,4.0639,130.0571801,1.08966784,2.2395022
109,0,83.78042783,0,0,0,83.78042783
109,83.78042783,85.42244603,2.0678,66.74696524,0,1.6420182
109,85.42244603,87.92244603,3.49111,100.1634368,2.74620446,2.5
109,87.92244603,90.42244603,5.31778,159.7975444,2.88084021,2.5
109,90.42244603,92.92244603,10.13666,225.5692094,1.41711234,2.5
109,92.92244603,95.42244603,9.55636,334.7231883,2.77838349,2.5
109,95.42244603,97.92244603,5.59913,94.79056634,2.30160953,2.5
109,97.92244603,100.422446,5.71385,182.11427,0,2.49999997
109,100.422446,102.922446,4.97774,162.4676042,0,2.5
109,102.922446,105.422446,5.32143,45.86452647,3.44794055,2.5
109,105.422446,107.922446,5.74964,31.7455486,0.998692,2.5
109,107.922446,110.422446,5.27597,166.0396185,3.21267547,2.5
109,110.422446,112.922446,2.13356,91.60294742,0.7768064,2.5
109,112.922446,115.422446,1.28236,126.7921199,1.88468401,2.5
109,115.422446,117.922446,0.79251,28.84596404,0,2.5
109,117.922446,120.422446,0.0427,20.6010263,0,2.5
109,120.422446,122.922446,0.60911,84.2891493,0,2.5
109,122.922446,125.422446,0.84298,25.10344923,0,2.5
109,125.422446,127.922446,1.61073,85.29089054,1.22473188,2.5
109,127.922446,130.422446,1.32974,83.90517494,0,2.5
109,130.422446,132.922446,1.05793,32.88934647,0,2.5
109,132.922446,135.422446,1.16415,37.81796059,0,2.5
109,135.422446,137.922446,0.43545,23.25820426,0,2.5
109,137.922446,140.422446,0.52841,6.64053085,0.13413482,2.5
109,140.422446,142.922446,0.9059,22.12028634,0.59549456,2.5
109,142.922446,144.8917074,0.9011,39.68198698,0,1.9692614
110,0,118.0344301,0,0,0,118.0344301
110,118.0344301,118.5140565,1.2501,63.52094608,0,0.4796264
110,118.5140565,121.0140565,0.79614,34.31701798,0.55354564,2.5
110,121.0140565,123.5140565,1.33154,66.26661017,0.23929829,2.5
110,123.5140565,126.0140565,2.03358,53.26033151,0.52485066,2.5
110,126.0140565,128.5140565,3.22257,49.75785343,0,2.5
110,128.5140565,131.0140565,4.72696,178.191194,1.78422049,2.5
110,131.0140565,133.5140565,2.81542,97.07612739,0,2.5
110,133.5140565,136.0140565,3.96681,83.78485907,0,2.5
110,136.0140565,138.5140565,3.77328,76.19918908,0.84621589,2.5
110,138.5140565,141.0140565,4.08415,146.7865998,3.67003848,2.5
110,141.0140565,143.5140565,3.13703,50.60529702,0,2.5
110,143.5140565,146.0140565,2.94253,90.2189948,2.78637188,2.5
110,146.0140565,148.5140565,2.4563,74.15196751,0,2.5
110,148.5140565,151.0140565,2.39718,24.61138778,1.01660722,2.5
110,151.0140565,153.5140565,3.47878,51.69561246,2.23761279,2.5
110,153.5140565,156.0140565,5.3404,127.5608665,1.9253411,2.5
110,156.0140565,158.5140565,3.94374,53.52290177,0.87960321,2.5
110,158.5140565,161.0140565,5.53776,31.57118394,2.64697718,2.5
110,161.0140565,163.5140565,6.33457,162.1755055,0,2.5
110,163.5140565,166.0140565,7.06265,205.759224,1.40639577,2.5
110,166.0140565,168.5140565,12.14763,401.2283374,3.38232615,2.5
110,168.5140565,171.0140565,12.14317,457.5001706,8.33855366,2.5
110,171.0140565,173.5140565,12.2332,106.3126006,2.60348597,2.5
110,173.5140565,176.0140565,10.49193,266.4770226,3.45888041,2.5
110,176.0140565,178.5140565,8.96704,105.2986358,1.7446866,2.5
110,178.5140565,181.0140565,8.97431,179.8890646,2.49144153,2.5
110,181.0140565,183.5140565,6.17981,191.0537426,2.31125078,2.5
110,183.5140565,186.0140565,3.91676,130.0935068,0.7667052,2.5
110,186.0140565,188.5140565,2.6014,56.67642027,2.63110037,2.5
110,188.5140565,191.0140565,2.72748,48.32224752,2.98103927,2.5
110,191.0140565,193.5140565,1.48974,84.40198176,2.01236844,2.5
110,193.5140565,196.0140565,0.90199,103.0820296,0.61597777,2.5
110,196.0140565,198.5140565,0.87231,35.09053658,0,2.5
110,198.5140565,201.0140565,0.87841,20.52173876,0,2.5
110,201.0140565,203.5140565,1.17557,41.27360917,0.96941492,2.5
110,203.5140565,206.0140565,1.30273,39.08075964,0,2.5
110,206.0140565,208.5140565,1.49244,53.84202164,0.61014879,2.5
110,208.5140565,211.0140565,1.46543,67.74915232,0,2.5
110,211.0140565,213.5140565,0.48704,26.38682401,0,2.5
110,213.5140565,216.0140565,0.19567,10.60810362,0,2.5
110,216.0140565,218.5140565,0.34993,61.27034163,0,2.5
110,218.5140565,221.0140565,0.28463,15.97960585,1.10216304,2.5
110,221.0140565,223.5140565,0.58701,7.87523457,0,2.5
110,223.5140565,226.0140565,2.77422,17.50162962,0.43717167,2.5
110,226.0140565,228.5140565,2.19773,94.03318548,0.51355034,2.5
110,228.5140565,231.0140565,3.91268,61.66452776,0,2.5
